latitude, longitude
43.631320, -79.357452
43.631359, -79.357482
43.631362, -79.357482
43.631320, -79.357467
43.631317, -79.357482
43.631298, -79.357528
43.631259, -79.357505
43.631298, -79.357536
43.631294, -79.357505
43.631271, -79.357490
43.631286, -79.357482
43.631397, -79.357704
43.631439, -79.357948
43.631500, -79.357955
43.631481, -79.357963
43.631500, -79.358116
43.632526, -79.360702
43.633720, -79.363761
43.634933, -79.366836
